,Name,Rating,Genre,Release Date,Runtime,Director,Url
0,The Batman,79.0,"Crime, Mystery, Thriller",03/04/2022 (IN),2h 56m,Matt Reeves,https://www.themoviedb.org/movie/414906
1,Spider-Man: No Way Home,81.0,"Action, Adventure, Science Fiction",12/17/2021 (IN),2h 28m,Steve Ditko,https://www.themoviedb.org/movie/634649
2,The Outfit,72.0,"Drama, Thriller, Crime",03/18/2022 (US),1h 45m,Graham Moore,https://www.themoviedb.org/movie/799876
3,Turning Red,75.0,"Animation, Family, Comedy, Fantasy",03/10/2022 (CZ),1h 40m,Domee Shi,https://www.themoviedb.org/movie/508947
4,Sonic the Hedgehog 2,77.0,"Action, Science Fiction, Comedy, Family",04/08/2022 (US),2h 2m,Patrick Casey,https://www.themoviedb.org/movie/675353
5,Yaksha: Ruthless Operations,62.0,Action,04/08/2022 (KR),2h 5m,Na Hyun,https://www.themoviedb.org/movie/606402
6,All the Old Knives,60,"Thriller, Action",04/08/2022 (GB),1h 42m,Olen Steinhauer,https://www.themoviedb.org/movie/294793
7,Moonfall,65.0,"Action, Adventure, Science Fiction",02/04/2022 (US),2h 10m,Roland Emmerich,https://www.themoviedb.org/movie/406759
8,War of the Worlds: Annihilation,60,"Science Fiction, Action",12/22/2021 (US),1h 53m,Maximilian Elfeldt,https://www.themoviedb.org/movie/919689
9,Encanto,77.0,"Animation, Comedy, Family, Fantasy",11/24/2021 (US),1h 42m,Charise Castro Smith,https://www.themoviedb.org/movie/568124
10,Blacklight,60,"Action, Thriller",02/11/2022 (US),1h 44m,Mark Williams,https://www.themoviedb.org/movie/823625
11,The Adam Project,70,"Action, Adventure, Comedy, Science Fiction",03/11/2022 (US),1h 46m,Shawn Levy,https://www.themoviedb.org/movie/696806
12,No Exit,67.0,"Horror, Thriller",02/25/2022 (US),1h 36m,Damien Power,https://www.themoviedb.org/movie/833425
13,Black Crab,62.0,"Action, Thriller",03/18/2022 (US),1h 49m,Adam Berg,https://www.themoviedb.org/movie/760868
14,Pil's Adventures,68.0,"Adventure, Animation, Comedy, Family, Fantasy",08/11/2021 (FR),1h 29m,Julien Fournet,https://www.themoviedb.org/movie/676705
15,Gold,64.0,"Thriller, Action",01/13/2022 (AU),1h 37m,Anthony Hayes,https://www.themoviedb.org/movie/760926
16,Kimi,62.0,Thriller,02/10/2022 (DE),1h 29m,Steven Soderbergh,https://www.themoviedb.org/movie/800510
17,Restless,60,"Action, Thriller, Crime",02/25/2022 (FR),1h 35m,Régis Blondeau,https://www.themoviedb.org/movie/928381
18,The In Between,71.0,"Romance, Science Fiction, Drama",02/11/2022 (US),1h 56m,Arie Posin,https://www.themoviedb.org/movie/818750
19,Hotel Transylvania: Transformania,71.0,"Animation, Family, Fantasy, Comedy, Adventure",02/25/2022 (US),1h 27m,Genndy Tartakovsky,https://www.themoviedb.org/movie/585083
20,Fantastic Beasts: The Secrets of Dumbledore,68.0,"Fantasy, Adventure",04/08/2022 (GB),2h 22m,David Yates,https://www.themoviedb.org/movie/338953
21,The Ice Age Adventures of Buck Wild,69.0,"Animation, Comedy, Adventure, Family",01/28/2022 (US),1h 22m,Jim Hecht,https://www.themoviedb.org/movie/774825
22,Sonic the Hedgehog,74.0,"Action, Science Fiction, Comedy, Family",02/14/2020 (US),1h 39m,Hirokazu Yasuhara,https://www.themoviedb.org/movie/454626
23,Eternals,71.0,"Science Fiction, Action",11/05/2021 (US),2h 36m,Chloé Zhao,https://www.themoviedb.org/movie/524434
24,Bull Shark,47.0,Horror,02/05/2022 (US),1h 20m,Brett Bentman,https://www.themoviedb.org/movie/938596
25,The Grandmother,61.0,Horror,01/28/2022 (ES),1h 40m,Paco Plaza,https://www.themoviedb.org/movie/661791
26,The Commando,67.0,"Action, Crime, Thriller",01/07/2022 (US),1h 33m,Asif Akbar,https://www.themoviedb.org/movie/753232
27,Sing 2,81.0,"Animation, Comedy, Family, Music",12/22/2021 (US),1h 50m,Garth Jennings,https://www.themoviedb.org/movie/438695
28,The King's Man,70,"Action, Adventure, Thriller, War, Mystery",01/14/2022 (IN),2h 11m,Matthew Vaughn,https://www.themoviedb.org/movie/476669
29,My Hero Academia: World Heroes' Mission,73.0,"Animation, Action, Fantasy, Adventure",08/06/2021 (JP),1h 45m,Kohei Horikoshi,https://www.themoviedb.org/movie/768744
30,The Requin,48.0,Thriller,01/28/2022 (US),1h 29m,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
31,Beautiful Sisters: Flesh Slave,52.0,"Crime, Horror",01/18/1986 (JP),1h 10m,Katsuhiko Fujii,https://www.themoviedb.org/movie/340553
32,Venom: Let There Be Carnage,70,"Science Fiction, Action, Adventure",10/01/2021 (US),1h 37m,Kelly Marcel,https://www.themoviedb.org/movie/580489
33,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,84.0,"Animation, Action, Adventure, Fantasy",08/13/2021 (IN),1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
34,Last Man Down,62.0,"Action, Thriller",10/19/2021 (US),1h 27m,Fansu Njie,https://www.themoviedb.org/movie/860623
35,Fistful of Vengeance,54.0,"Action, Crime, Fantasy",02/17/2022 (US),1h 34m,Roel Reiné,https://www.themoviedb.org/movie/890656
36,Desperate Riders,58.0,"Western, Action",02/25/2022 (US),1h 30m,Michael Feifer,https://www.themoviedb.org/movie/928999
37,Metal Lords,67.0,"Comedy, Drama, Music",04/08/2022 (US),1h 37m,Peter Sollett,https://www.themoviedb.org/movie/739993
38,Run Gun,53.0,"Action, Thriller",01/11/2022 (US),1h 36m,Christopher Borrelli,https://www.themoviedb.org/movie/910596
39,Uncharted,70,"Action, Adventure",02/18/2022 (US),1h 56m,Ruben Fleischer,https://www.themoviedb.org/movie/335787
40,Nightmare Alley,71.0,"Crime, Drama, Thriller",12/03/2021 (IN),2h 30m,Guillermo del Toro,https://www.themoviedb.org/movie/597208
41,Morbius,58.0,"Action, Science Fiction, Fantasy",04/01/2022 (IN),1h 44m,Roy Thomas,https://www.themoviedb.org/movie/526896
42,Pursuit,55.0,"Action, Crime, Thriller",02/18/2022 (US),1h 32m,Brian Skiba,https://www.themoviedb.org/movie/871799
43,The Jack in the Box: Awakening,60,Horror,02/24/2022 (RU),1h 29m,Lawrence Fowler,https://www.themoviedb.org/movie/801071
44,Shang-Chi and the Legend of the Ten Rings,77.0,"Action, Adventure, Fantasy",09/03/2021 (IN),2h 12m,Destin Daniel Cretton,https://www.themoviedb.org/movie/566525
45,Resident Evil: Welcome to Raccoon City,62.0,"Horror, Action, Science Fiction",11/26/2021 (IN),1h 47m,Johannes Roberts,https://www.themoviedb.org/movie/460458
46,Ghostbusters: Afterlife,77.0,"Fantasy, Comedy, Adventure",11/11/2021 (CA),2h 4m,Jason Reitman,https://www.themoviedb.org/movie/425909
47,Jackass Forever,69.0,"Comedy, Documentary",02/04/2022 (US),1h 36m,Jeff Tremaine,https://www.themoviedb.org/movie/656663
48,Scream,68.0,"Horror, Mystery, Thriller",01/14/2022 (US),1h 54m,Kevin Williamson,https://www.themoviedb.org/movie/646385
49,The Boss Baby: Family Business,76.0,"Animation, Comedy, Adventure, Family",07/02/2021 (US),1h 47m,Michael McCullers,https://www.themoviedb.org/movie/459151
50,The Matrix Resurrections,67.0,"Science Fiction, Action, Adventure",12/22/2021 (US),2h 28m,Lana Wachowski,https://www.themoviedb.org/movie/624860
51,The Northman,80,"Action, Adventure, Drama",04/22/2022 (US),2h 17m,Robert Eggers,https://www.themoviedb.org/movie/639933
52,American Siege,57.0,"Action, Thriller, Crime, Drama",03/31/2022 (RU),1h 30m,Edward Drake,https://www.themoviedb.org/movie/766907
53,Looop Lapeta,62.0,"Action, Comedy, Crime",02/04/2022 (IN),2h 11m,Aakash Bhatia,https://www.themoviedb.org/movie/783461
54,The Lost City,70,"Action, Adventure, Comedy, Romance",03/25/2022 (US),1h 52m,Aaron Nee,https://www.themoviedb.org/movie/752623
55,The Seven Deadly Sins: Cursed by Light,79.0,"Animation, Fantasy",07/02/2021 (JP),1h 19m,Takayuki Hamana,https://www.themoviedb.org/movie/843241
56,The Bubble,48.0,Comedy,03/25/2022 (US),2h 6m,Judd Apatow,https://www.themoviedb.org/movie/765119
57,The House,70,"Animation, Drama, Comedy, Horror",01/14/2022 (GB),1h 37m,Marc James Roels,https://www.themoviedb.org/movie/926899
58,PAW Patrol: The Movie,75.0,"Animation, Family, Adventure, Comedy",08/20/2021 (US),1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
59,Death on the Nile,65.0,"Crime, Drama, Mystery, Thriller",02/11/2022 (US),2h 7m,Kenneth Branagh,https://www.themoviedb.org/movie/505026
60,Tom and Jerry: Cowboy Up!,70,"Animation, Comedy, Family, Western",01/25/2022 (US),1h 15m,Joseph Barbera,https://www.themoviedb.org/movie/892153
61,Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy",11/10/2021 (US),1h 37m,Norman Bridwell,https://www.themoviedb.org/movie/585245
62,Texas Chainsaw Massacre,52.0,"Horror, Thriller",02/18/2022 (US),1h 23m,Kim Henkel,https://www.themoviedb.org/movie/632727
63,The Bad Guys,75.0,"Animation, Comedy, Action, Family, Crime",04/22/2022 (US),1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
64,Red Notice,68.0,"Action, Comedy, Crime, Thriller",11/05/2021 (US),1h 58m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195
65,The 355,60,"Action, Thriller",01/07/2022 (US),2h 2m,Simon Kinberg,https://www.themoviedb.org/movie/522016
66,Dancing on Glass,59.0,Drama,04/08/2022 (US),2h 17m,Jota Linares,https://www.themoviedb.org/movie/800407
67,Forever Out of My League,56.0,"Romance, Comedy",01/31/2022 (IT),1h 44m,Roberto Proia,https://www.themoviedb.org/movie/790525
68,Through My Window,77.0,"Romance, Drama",02/04/2022 (ES),1h 52m,Marçal Forés,https://www.themoviedb.org/movie/818647
